hotelName,hotelAddress,Street,City,hotelDescription,pricePerNight,scoreGeneral,scoreValueForMoney,scoreLocation,scoreClean,distanceTlv
Open Skys,"32 Jerusalem St, Safed",32 Jerusalem St,Safed,"Boasting a spa bath, Open Skys is situated in Safed. The property has city views and is 600 m from Artist Colony and 4.4 km from Mount Canaan. Rooms are equipped with a balcony with mountain views and free WiFi.All units at the holiday home …Read more",1000.0,9.4,8.7,9.5,9.9,119.3
אירוח גאלה בגולן,"הערבות 6, Qasrîne",הערבות 6,Qasrine,"Offering a garden and garden view, אירוח גאלה בגולן is located in Qasrîne, 30 km from Israel Bible Museum and 30 km from Mount Canaan. This property offers access to ping-pong, free private parking and free WiFi.The air-conditioned holiday home …Read more",1700.0,9.0,10.0,10.0,10.0,
Mendy's Accommodation,"28 Jerusalem Street , Safed",28 Jerusalem Street ,Safed,"Located in Safed, 400 m from Artist Colony and 4.6 km from Mount Canaan, Mendys Accommodation offers air conditioning. This property offers access to a terrace, free private parking and free WiFi. The accommodation provides a 24-hour front desk.The …Read more",600.0,8.6,8.1,9.1,9.4,119.3
Sea of Galilee Panoramic View,"Dalyot st. , Moshav Ramot",Dalyot st. ,Moshav Ramot,"Boasting panoramic views of the Sea of Galilee, this property offers luxury chalets, each with a large indoor hot tub, and free Wi-Fi.These air-conditioned chalets feature a sea-view balcony, a seating/dining area with satellite flat-screen …Read more",931.0,9.2,8.8,9.6,9.2,
אירוח על שפת ים כנרת,"17 גדוד ברק, Tiberias",17 גדוד ברק,Tiberias,"אירוח על שפת ים כנרת is a beachfront property set in Tiberias, 800 m from Tomb of Maimonides and less than 1 km from Marina. The property has sea and mountain views, and is 300 m from The Scots Church.This air-conditioned apartment has 1 bedroom, …Read more",490.0,5.3,8.8,9.3,9.2,105.4
Ashash House - Bab Elhawa Studio,"Old city 11/95, Akko",Old city 11/95,Akko,"Situated in Akko, 1.9 km from Akko Beach and 5 km from The Bahá’í Gardens in Akko, Ashash House - Bab Elhawa Studio provides accommodation with amenities such as free WiFi and a flat-screen TV. This apartment is 12 km from Train Station Nahariyya …Read more",610.0,8.2,7.9,9.5,9.1,
Menachem's Apartment,"Menachem Begin Blvd 1591, Bet Shean",Menachem Begin Blvd 1591,Bet Shean,"Located in Bet Shean, 45 km from Ajloun Castle and 8 km from Gan HaShlosa National Park, Menachems Apartment provides accommodation with amenities such as free WiFi and a flat-screen TV. This apartment is 38 km from Marina and 39 km from The …Read more",756.0,9.4,9.4,7.2,9.7,
BetweenTheSuns Suites for Couple - Sunset,"Topaz Street, Lavon",Topaz Street,Lavon,"Situated in Lavon, within 26 km of The Bahá’í Gardens in Akko and 46 km of Haifa’s Municipal Theater, BetweenTheSuns Suites for Couple - Sunset offers accommodation with free WiFi, air conditioning, an outdoor swimming pool and a garden. The …Read more",1700.0,8.7,8.8,9.3,9.2,107.0
Your Home,"כביש 805, Deir Ḥannā",כביש 805,Deir Hanna,"Located 32 km from The Bahá’í Gardens in Akko and 43 km from Haifa’s Municipal Theater in Deir Ḥannā, Your Home offers accommodation with a kitchenette. This property offers access to a balcony, free private parking and free WiFi. Tomb of Maimonides …Read more",432.0,8.7,8.8,9.3,9.2,
Ayelet Ahavim,"Moshav Livnim, Livnim",Moshav Livnim,Livnim,"Located in Moshav Livnim and offering unique views of the Sea of Galilee, Ayelet Ahavim offers luxurious chalets with satin linen and air conditioning. There is also a swimming pool and a Spa Area on site.All chalets offer a king-size bed with …Read more",1383.0,8.9,7.6,9.7,8.8,110.1
Queen's zimmer and park,"Golan Heights majdal shams golan heights, Majdal Shams",Golan Heights majdal shams golan heights,Majdal Shams,"Providing city views, Queens zimmer and park in Majdal Shams provides accommodation, a garden, a shared lounge, a terrace and barbecue facilities.A balcony with mountain views is offered in every unit.The lodge offers a buffet or continental …Read more",900.0,9.6,9.2,9.5,9.7,161.5
מיאר אירוח דרוזי,"כפר מגאר, Maghār",כפר מגאר,Maghar,"Situated in Maghār, 19 km from The Scots Church and 20 km from Marina, מיאר אירוח דרוזי offers air conditioning. With free private parking, the property is 38 km from The Bahá’í Gardens in Akko and 19 km from Tomb of Maimonides. Mount Canaan …Read more",527.0,10.0,9.5,10.0,10.0,107.6
Fellini-Talpiot,"7 Sokolov Street, Haifa",7 Sokolov Street,Haifa,"Set 300 m from Haifa’s Municipal Theater, Fellini-Talpiot offers air-conditioned accommodation with a balcony. There is a private entrance at the apartment for the convenience of those who stay. The apartment features family rooms.The accommodation …Read more",330.0,8.7,8.8,9.3,9.2,84.7
Two bedroom apartment with balcony and sea view,"27 דרך השלום, Akko",27 דרך השלום,Akko,"Boasting city views, Two bedroom apartment with balcony and sea view features accommodation with a terrace and a balcony, around 2.7 km from Akko Beach. It has sea views and free WiFi throughout the property.The air-conditioned apartment consists …Read more",552.0,8.7,8.8,9.3,9.2,
Darna Bagalil Merlot suite Perfect for couples,"אודם, Lavon",אודם,Lavon,"Situated in Lavon, 26 km from The Bahá’í Gardens in Akko and 46 km from Haifa’s Municipal Theater, Darna Bagalil Merlot suite Perfect for couples features accommodation with free WiFi, air conditioning, a seasonal outdoor swimming pool and a …Read more",2106.0,8.7,8.8,9.3,9.2,107.0
וילה לה וידה - וילה יוקרתית ומעוצבת עם ג'קוזי ספא ובריכה מחוממת ליד הכנרת - Luxurious and designed 5Bdrm villa with a spa jacuzzi and a heated pool near the Sea of Galilee,"3 השיזף, Migdal",3 השיזף,Migdal,"Set in Migdal, וילה לה וידה - וילה יוקרתית ומעוצבת עם גקוזי ספא ובריכה מחוממת ליד הכנרת - Luxurious and designed 5Bdrm villa with a spa jacuzzi and a heated pool near the Sea of Galilee offers accommodation with private pool, free WiFi and free …Read more",5175.0,8.7,8.8,9.3,9.2,108.1
Alientovan,"יאנוח גת, Yānūḥ",יאנוח גת,Yanuh,"Alientovan is set in Yānūḥ, 23 km from Gaaton River, 26 km from The Old City of Akko, as well as 30 km from Rosh HaNikra grottoes. With free private parking, the property is 25 km from The Bahá’í Gardens in Akko and 45 km from Haifa’s Municipal …Read more",700.0,8.7,8.8,9.3,9.2,
מגדלי המלכים טבריה,"17 גדוד ברק, Tiberias",17 גדוד ברק,Tiberias,"Boasting lake views, מגדלי המלכים טבריה features accommodation with a balcony and a kettle, around 800 m from Tomb of Maimonides. The air-conditioned accommodation is 300 m from The Scots Church, and guests benefit from private parking available …Read more",700.0,5.8,8.8,9.3,9.2,105.4
אחוזת מלכי ישראל לשומרי שבת וכשרות,"יהדות מרוקו, H̱osen",יהדות מרוקו,Hosen,"Set in H̱osen, אחוזת מלכי ישראל לשומרי שבת וכשרות offers accommodation with a private pool and garden views. The air-conditioned accommodation is 32 km from The Bahá’í Gardens in Akko, and guests benefit from private parking available on site …Read more",4050.0,8.7,8.8,9.3,9.2,113.0
"אחוזת האושר - וילה כפרית בגליל עם 3 חדרי שינה, בריכה פרטית וג'קוזי 15 דק' מהכנרת- Country 3Bdrm Villa with private heated pool and jacuzzi spa","אחוזת האושר, Kallanit",אחוזת האושר,Kallanit,"Situated in Kallanit and only 43 km from The Bahá’í Gardens in Akko, אחוזת האושר - וילה כפרית בגליל עם 3 חדרי שינה, בריכה פרטית וגקוזי 15 דק מהכנרת- Country 3Bdrm Villa with private heated pool and jacuzzi spa features accommodation with mountain …Read more",2588.0,8.7,8.8,9.3,9.2,
Lovely apartment with a terrace in the center of Haifa,"9 Ha-Partizanim Street, Haifa",9 Ha-Partizanim Street,Haifa,"Set 1.6 km from The Quiet Beach, Lovely apartment with a terrace in the center of Haifa offers air-conditioned accommodation with a terrace and free WiFi. This recently renovated apartment is located 2.1 km from Bat Galim Beach and 3.9 km from …Read more",432.0,7.8,8.0,8.0,10.0,84.7
Estate Spa - Boutique Hotel,"38 Moshe Yatom St. , Rechovot",38 Moshe Yatom St. ,Rechovot,"Located in the centre of Rehovot, the Estate Spa Boutique Hotel offers free access to its spa centre, hot tub and sauna. Free Wi-Fi and free parking are also available.All air-conditioned rooms at this boutique hotel are designed in a modern …Read more",663.0,8.9,8.5,8.5,9.0,
Mantur Jerusalem Mountains by Selina,"Maale HaHamisha 90835 Jerusalem, South Entrance, Maale Hachamisha",Maale HaHamisha 90835 Jerusalem,Maale Hachamisha,"Mantur Jerusalem Mountains by Selina features a fitness centre, garden, a terrace and bar in Maale Hachamisha. The property is located 15 km from Holyland Model of Jerusalem, 17 km from Khalil Sakakini Cultural Center and 18 km from Al Manara …Read more",407.0,8.3,8.3,9.1,8.1,
Sima Suite 2,"5 הטיילת, Ashdod",5 הטיילת,Ashdod,"Offering a terrace and city view, Sima Suite 2 is set in Ashdod, 200 m from Ashdod Beach and 36 km from Independence Hall Museum. This beachfront property offers access to a balcony, free private parking and free WiFi.The air-conditioned apartment …Read more",700.0,9.2,9.5,9.6,9.5,33.7
Ahuzat Shaul - Studio,"49 lavotzkin Street , H̱adera",49 lavotzkin Street ,Hadera,"Located just 46 km from Yarkon Park, Ahuzat Shaul - Studio features accommodation in H̱adera with access to a garden, barbecue facilities, as well as full-day security. Featuring a shared kitchen, this property also provides guests with a childrens …Read more",405.0,7.9,8.0,7.9,8.4,43.1
Ahuzat Shaul Seaside,"HaShaldag, H̱adera",HaShaldag,Hadera,"Featuring an open-air bath and views of garden, Ahuzat Shaul Seaside is a recently renovated guest house located in H̱adera, less than 1 km from Olga Beach. The accommodation has a spa bath and a hot tub. Providing free WiFi throughout the property, …Read more",504.0,8.4,8.4,8.5,8.9,43.1
Hotel Nordoy By 7Minds,"27 Nachalat Benyamin, Tel Aviv",27 Nachalat Benyamin,Tel Aviv,"Featuring a rooftop with panoramic views, Nordoy Hotel is situated in Tel Aviv centre, a 10-minute walk from the beach. This modern hotel is set in a renovated 1920s building, and is proud to be the citys oldest hotel.Every room at this hotel …Read more",939.0,8.7,8.2,9.5,9.0,0.0
Ashdod on the sea- אשדוד על הים,"אקסודוס, Ashdod",אקסודוס,Ashdod,"Featuring a balcony with city views, a terrace and a restaurant, Ashdod on the sea- אשדוד על הים can be found in Ashdod, close to Ashdod Beach and less than 1 km from Yud-Alef Beach. Featuring sea and lake views, this apartment also provides guests …Read more",1620.0,9.9,9.2,10.0,10.0,33.7
Beutifull view of batyam,"רחוב יוספטל 11 9, Bat Yam",רחוב יוספטל 11 9,Bat Yam,"Located just 700 m from Marina Beach, Beutifull view of batyam provides accommodation in Bat Yam with access to a private beach area, a bar, as well as a 24-hour front desk. This beachfront property offers access to a balcony, free private parking …Read more",648.0,8.8,9.0,9.5,9.2,6.9
Airport Guest House,"12 הארז, Or Yehuda",12 הארז,Or Yehuda,"Airport Guest House is set in Or Yehuda, 11 km from The Cameri Theatre, 11 km from Independence Hall Museum, as well as 11 km from Tel Aviv Museum of Art. The property is situated 11 km from Hashalom Train Station, 11 km from Itzhak Rabin Memorial …Read more",440.0,7.6,7.6,7.8,7.7,8.4
Garden apt at the Marina Herzliya,"1 יורדי הים קרקע, 40 B, Herzliyya B",1 יורדי הים קרקע,Herzliyya B,"Boasting air-conditioned accommodation with a private pool, garden view and a balcony, Garden apt at the Marina Herzliya is situated in Herzliyya B. This beachfront property offers access to a terrace, free private parking and free WiFi. The apartment …Read more",650.0,8.7,8.8,9.3,9.2,
Ahuzat Shaul - Apartment,"Lavotzkin 49, H̱adera",Lavotzkin 49,Hadera,"Featuring air-conditioned accommodation with a balcony, Ahuzat Shaul - Apartment is located in H̱adera. With city views, this accommodation offers a patio. The apartment provides an outdoor fireplace, a 24-hour front desk, and free WiFi is available …Read more",468.0,7.6,7.8,8.1,8.4,43.1
Cucu Hotel By 7Minds,"83 Dizengoff St., Tel Aviv",83 Dizengoff St.,Tel Aviv,"Featuring free WiFi and a restaurant, Cucu Hotel By 7Minds offers accommodation in the heart of Tel Aviv, 50 m from Dizengoff Square. Restaurants and bars popular among locals are in the propertys surrounding area.All rooms have modern-style …Read more",626.0,8.9,8.5,9.7,9.2,0.0
Rosen Villa at Ramat Hahayal,"45 Pinkhas Rosen Street, Tel Aviv",45 Pinkhas Rosen Street,Tel Aviv,"Situated 3.3 km from Yarkon Park, Rosen Villa at Ramat Hahayal offers a seasonal outdoor swimming pool, a garden and air-conditioned accommodation with a patio and free WiFi. The property has pool and garden views, and is 5.1 km from Yitzhak Rabin …Read more",420.0,8.8,8.7,8.8,9.3,0.0
180 Boutique Hostel,"2 Yona HaNavi St Corner Herbert Samuel St 54, Tel Aviv",2 Yona HaNavi St Corner Herbert Samuel St 54,Tel Aviv,"Ideally situated in Tel Aviv, 180 Boutique Hostel features air-conditioned rooms, a shared lounge, free WiFi and a terrace. Boasting a bar, the hostel is close to several noted attractions, around 200 m from Jerusalem Beach, 200 m from Banana …Read more",429.0,7.9,7.9,9.6,7.6,0.0
דירה בטורקיז,"שדרות ברוך בוארון, H̱adera",שדרות ברוך בוארון,Hadera,"A recently renovated apartment set in H̱adera, דירה בטורקיז features a private beach area. This beachfront property offers access to a balcony and free private parking. The accommodation offers a lift and a business centre for guests.The spacious …Read more",630.0,8.8,8.6,9.5,8.9,43.1
The Seven Seas Tel Aviv,"56 Retsif Herbert Samuel Street, Tel Aviv",56 Retsif Herbert Samuel Street,Tel Aviv,"Attractively situated in Tel Aviv, The Seven Seas Tel Aviv features air-conditioned rooms, a garden, free WiFi and a terrace. Boasting a bar, the hotel is close to several noted attractions, around 200 m from Jerusalem Beach, 200 m from Banana …Read more",697.0,8.0,7.6,9.5,8.4,0.0
Bat Yam Luxery 4BR Sea View Suite,"Yitshak Sadeh St 6 Apartment 40, Floor 10, Bat Yam",Yitshak Sadeh St 6 Apartment 40,Bat Yam,"Boasting garden views, Bat Yam Luxery 4BR Sea View Suite offers accommodation with a fitness centre, a garden and barbecue facilities, around 400 m from Marina Beach. This beachfront property offers access to free WiFi and free private parking. …Read more",2056.0,9.0,8.8,9.1,9.1,6.9
Bat Yam Luxery 4BR Sea View Suite,"Yitshak Sadeh St 6 Apartment 40, Floor 10, Bat Yam",Yitshak Sadeh St 6 Apartment 40,Bat Yam,"Boasting city views, Bat Yam Luxery 4BR Sea View Suite features accommodation with a fitness centre and a balcony, around 400 m from Marina Beach. This apartment has a garden, barbecue facilities, free WiFi and free private parking.The air-conditioned …Read more",1496.0,9.0,8.8,9.1,9.1,6.9
Selina Frishman Tel Aviv,"Hyarkon 106 tel aviv, Tel Aviv",Hyarkon 106 tel aviv,Tel Aviv,"Attractively located in Tel Aviv, Selina Frishman Tel Aviv features air-conditioned rooms, a bar and free WiFi. This 3-star hotel offers a 24-hour front desk and luggage storage space. The property is non-smoking and is situated 200 m from Frishman …Read more",401.0,8.0,8.0,9.2,8.2,0.0
Roza Apartment,"95 King George Street קומת קרקע, Tel Aviv",95 King George Street קומת קרקע,Tel Aviv,"Featuring city views and free WiFi, Roza Apartment features accommodation attractively set in the centre of Tel Aviv, within a short distance of Frishman Beach, Gordon Beach and Jerusalem Beach. It is located 400 m from Dizengoff Center and provides …Read more",374.0,8.6,8.6,9.3,8.8,0.0
Ben Gurion Beauty 2 Bedrooms with free parking,"28 שדרות בן גוריון, Tel Aviv",28 שדרות בן גוריון,Tel Aviv,"Located in the centre of Tel Aviv, 600 m from Gordon Beach and less than 1 km from Hilton Beach, Ben Gurion Beauty 2 Bedrooms with free parking offers free WiFi. This apartment is 1.2 km from Dizengoff Center and 1.5 km from Meir Park.The air-conditioned …Read more",3690.0,8.7,8.8,9.3,9.2,0.0
Luxury Aparment 5 room 2 minutes from the beach,"6 זבוטינסקי 11, Bat Yam",6 זבוטינסקי 11,Bat Yam,"Offering free WiFi and city views, Luxury Aparment 5 room 2 minutes from the beach is an accommodation set in Bat Yam, just 400 m from Hasela Beach and 700 m from Bat Yam Jerusalem Beach. Housed in a building dating from 2018, the apartment is …Read more",1377.0,8.9,8.4,9.6,8.8,6.9
Villa Ono - at Bar Ilan University and Sheba Hospital,"27 הרצל, Qiryat Ono",27 הרצל,Qiryat Ono,"Boasting a garden and views of garden, Villa Ono - at Bar Ilan University and Sheba Hospital is a sustainable guest house situated in Qiryat Ono, 8.5 km from The Cameri Theatre. The property has inner courtyard and quiet street views, and is 9 …Read more",420.0,8.7,8.5,8.4,9.4,
De Picciotto Suites,"23 דה פיגוטו, Tel Aviv",23 דה פיגוטו,Tel Aviv,"Located in Tel Aviv, 1.5 km from Aviv Beach and 1.7 km from the centre, De Picciotto Suites provides air-conditioned accommodation with free WiFi, and a restaurant.Featuring a kitchen with a fridge and a microwave, each unit also comes with …Read more",1314.0,9.3,9.1,9.4,9.6,0.0
Carmel Star,"36 רבי מאיר, Tel Aviv",36 רבי מאיר,Tel Aviv,"Carmel Star features air-conditioned guest accommodation in the centre of Tel Aviv, 600 m from Banana Beach, 600 m from Aviv Beach and less than 1 km from Jerusalem Beach. Complimentary WiFi is featured.Some of the units feature a cable TV, …Read more",600.0,9.0,8.9,9.4,9.4,0.0
Private room near the Airport for amazing people,"28 גרינבוים, Lod",28 גרינבוים,Lod,"Set in Lod, 24 km from Independence Hall Museum and 24 km from Nachalat Benyamin Crafts Fair, Private room near the Airport for amazing people offers air conditioning. This sustainable homestay is located 24 km from Shenkin Street and 24 km from …Read more",280.0,7.9,8.0,7.9,7.9,18.4
See&Sun,"קדושי בלזן 1, Ashdod",קדושי בלזן 1,Ashdod,"Set in Ashdod, 300 m from Ashdod Beach and 2.7 km from Yud-Alef Beach, See&Sun offers barbecue facilities and air conditioning. This beachfront property offers access to a terrace and free WiFi. Nachalat Benyamin Crafts Fair is 37 km from the …Read more",1050.0,8.9,8.8,9.1,9.6,33.7
best location in TLV,"24 גאולה, Tel Aviv",24 גאולה,Tel Aviv,"Best location in TLV is attractively situated in the centre of Tel Aviv and has a terrace. This apartment features accommodation with a balcony and free WiFi.The air-conditioned apartment is composed of 3 separate bedrooms, a fully equipped …Read more",3940.0,8.7,8.8,9.3,9.2,0.0
Hotel Rehovot,"בנימין 3, Rechovot",בנימין 3,Rechovot,"Set in Rechovot, 24 km from Independence Hall Museum, Hotel Rehovot offers accommodation with a garden, free private parking and a terrace. Located around 24 km from Nachalat Benyamin Crafts Fair, the guest house with free WiFi is also 24 km away …Read more",500.0,7.9,7.6,8.8,8.5,
Types of city center apartments VIP,"חובבי ציון 51 דירה 13, Tel Aviv",חובבי ציון 51 דירה 13,Tel Aviv,"Types of city center apartments VIP is set in the Tel Aviv City-Centre district of Tel Aviv, 500 m from Frishman Beach, 700 m from Meir Park and 600 m from Dizengoff Center. It is situated 500 m from Jerusalem Beach and features free WiFi plus …Read more",818.0,8.5,7.9,9.6,7.9,0.0
The Urban Chalet,"3362, Tel Aviv",3362,Tel Aviv,"Attractively situated in the Florentin district of Tel Aviv, The Urban Chalet is situated 1.6 km from Aviv Beach, less than 1 km from Independence Hall Museum and a 17-minute walk from Nachalat Benyamin Crafts Fair. The air-conditioned accommodation …Read more",275.0,8.9,9.4,8.9,9.4,0.0
Rothschild Room,"רוטשילד 106, Petaẖ Tiqwa",רוטשילד 106,Petah Tiqwa,"Set in Petaẖ Tiqwa, 10 km from Kikar Ha-Medina, Rothschild Room features views of the city. The property is around 10 km from Tel Aviv Museum of Art, 10 km from Hashalom Train Station and 11 km from The Cameri Theatre. The guest house also offers …Read more",427.0,8.6,8.3,8.6,8.9,
Carmel Market Budget Apartment,"10 HaYarkon Street, Tel Aviv",10 HaYarkon Street,Tel Aviv,"Set in the centre of Tel Aviv, 200 m from Aviv Beach and 300 m from Banana Beach, Carmel Market Budget Apartment offers accommodation with free WiFi.Popular points of interest near the apartment include Jerusalem Beach, Nachalat Benyamin Crafts …Read more",1220.0,9.7,9.2,10.0,8.3,0.0
Chilling in Netanya,"16 Moshe Hess Street, Netanya",16 Moshe Hess Street,Netanya,"Boasting air-conditioned accommodation with a patio, Chilling in Netanya is set in Netanya. This property offers access to a balcony, free private parking and free WiFi. The accommodation offers a lift and private check-in and check-out for guests.The …Read more",1000.0,9.4,9.4,9.3,9.6,29.1
Relaxing duplex,"HaNeviim Pedestrian Mall 1, Ashdod",HaNeviim Pedestrian Mall 1,Ashdod,"Located in Ashdod, 2.6 km from Yud-Alef Beach and 2.8 km from Ashdod Beach, Relaxing duplex offers air conditioning. This beachfront property offers access to a balcony and free WiFi. Independence Hall Museum is 38 km from the apartment and Suzanne …Read more",924.0,8.6,8.0,8.1,8.0,33.7
צימר ברחובות - Israeli Home,"shalom otmi 11, Rechovot",shalom otmi 11,Rechovot,"Set 26 km from Independence Hall Museum, צימר ברחובות - Israeli Home offers air-conditioned accommodation with a balcony. There is a private entrance at the apartment for the convenience of those who stay. The accommodation offers beauty services, …Read more",550.0,9.5,9.1,8.8,9.7,
AspenTLV - Hacarmel Market Apartments & Studios,"11 HaCarmel Street, Tel Aviv",11 HaCarmel Street,Tel Aviv,"AspenTLV - Hacarmel Market Apartments & Studios offers accommodation within 1.3 km of the centre of Tel Aviv, with free WiFi, and a kitchen with a microwave, a fridge and a stovetop. This recently renovated apartment is located 600 m from Banana …Read more",328.0,7.8,8.0,8.1,8.0,0.0
צימר ברחובות- Tara ארוח,"זאב אייזנר 35, Rechovot",זאב אייזנר 35,Rechovot,"27 km from Independence Hall Museum, צימר ברחובות- Tara ארוח is a sustainable property situated in Rechovot and features air-conditioned rooms with free WiFi and parking on-site. There is a private entrance at the apartment for the convenience …Read more",540.0,9.8,9.6,9.8,10.0,
Jabitat- Boutique Hostel Jaffa TLV,"4 Elazar ben Yosei Street, Tel Aviv",4 Elazar ben Yosei Street,Tel Aviv,"Boasting a shared lounge and views of quiet street, Jabitat- Boutique Hostel Jaffa TLV is a recently renovated guest house situated in Tel Aviv, 600 m from Alma Beach. The air-conditioned accommodation is less than 1 km from Charles Clore Beach. …Read more",473.0,8.7,8.7,9.6,8.7,0.0
צימר ברחובות- Tara ארוח,"זאב אייזנר 35, Rechovot",זאב אייזנר 35,Rechovot,"Situated 27 km from Independence Hall Museum, צימר ברחובות- Tara ארוח offers a garden, a terrace and air-conditioned accommodation with a balcony and free WiFi.The accommodation comes with a flat-screen TV and a private bathroom with shower …Read more",540.0,9.8,9.6,9.8,10.0,
Jabitat- Boutique Hostel Jaffa TLV,"4 Elazar ben Yosei Street, Tel Aviv",4 Elazar ben Yosei Street,Tel Aviv,"Boasting a shared lounge and views of quiet street, Jabitat- Boutique Hostel Jaffa TLV is a recently renovated guest house situated in Tel Aviv, 600 m from Alma Beach. The air-conditioned accommodation is less than 1 km from Charles Clore Beach. …Read more",572.0,8.7,8.7,9.6,8.7,0.0
Stylish Tel Aviv,"68 HaMasger Street, Tel Aviv",68 HaMasger Street,Tel Aviv,"Situated in the centre of Tel Aviv, Stylish Tel Aviv is a sustainable accommodation, which features allergy-free rooms. Among the facilities of this property are a restaurant, a lift and luggage storage space, along with free WiFi throughout the …Read more",486.0,9.1,8.8,9.1,9.2,0.0
Marina area Central location,"עוזי חיטמן building 6 apt 12 5th floor, Ashdod",עוזי חיטמן building 6 apt 12 5th floor,Ashdod,"Set in Ashdod, less than 1 km from Yud-Alef Beach and a 19-minute walk from Ashdod Beach, Marina area Central location offers air conditioning. This property offers access to a balcony, free private parking and free WiFi. The accommodation offers …Read more",1230.0,8.6,8.0,9.4,8.8,33.7
Vintage high desigh Lofts -by Bookiz,"3 נועם, Tel Aviv",3 נועם,Tel Aviv,"Vintage high desigh Lofts -by Bookiz is located in Tel Aviv, 500 m from Alma Beach and provides air-conditioned accommodation with free WiFi, as well as access to a terrace.Each unit comes with a fully equipped kitchen with a dining table, a …Read more",991.0,9.6,9.3,10.0,9.6,0.0
House in Shalma,"19 Shalma Rd., Tel Aviv",19 Shalma Rd.,Tel Aviv,"Situated less than 1 km from Alma Beach in Tel Aviv, House in Shalma features accommodation with air conditioning and free WiFi.Featuring a kitchenette with a fridge and a stovetop, each unit also comes with a satellite flat-screen TV, ironing …Read more",620.0,9.3,9.5,9.1,9.7,0.0
Alaya Village,"3 Shulamit Street, Netanya",3 Shulamit Street,Netanya,"Situated in Netanya, 800 m from Poleg Beach, Alaya Village features accommodation with a garden, free private parking, a terrace and a restaurant. The property is located 24 km from Yarkon Park, 25 km from Yitzhak Rabin Center and 26 km from Kikar …Read more",560.0,9.6,9.7,10.0,9.4,29.1
Penthouse lili,"נחל נעמן, Ashdod",נחל נעמן,Ashdod,"Set in Ashdod in the South District Israel region, Penthouse lili has a balcony. The property is located 2.1 km from Ashdod Beach, 40 km from Independence Hall Museum and 40 km from Suzanne Dellal Center for Dance and Theater. Free WiFi is available …Read more",1053.0,9.5,9.6,10.0,10.0,33.7
Best Apart TLV,"65 Arye Shenkar Street, Miqwe Yisrael",65 Arye Shenkar Street,Miqwe Yisrael,"Best Apart TLV is set in Miqwe Yisrael, 6.7 km from Suzanne Dellal Center for Dance and Theater, 7.2 km from Nachalat Benyamin Crafts Fair, as well as 7.5 km from Shenkin Street. The property is situated 7.6 km from The Cameri Theatre, 7.6 km …Read more",465.0,8.7,8.8,9.3,9.2,
ים נופש,"5 הטיילת, Ashdod",5 הטיילת,Ashdod,"Boasting city views, ים נופש offers accommodation with a garden, a terrace and a bar, around 200 m from Ashdod Beach. With sea views, this accommodation features a balcony.This air-conditioned apartment has 2 bedrooms, a cable flat-screen TV, …Read more",990.0,8.6,8.8,8.5,9.0,33.7
Stunning and new private housing unit,"הרעות‬‎, Kefar Yona",הרעות‬‎,Kefar Yona,"Featuring air-conditioned accommodation with a balcony, Stunning and new private housing unit is located in Kefar Yona. This property offers access to a terrace, free private parking and free WiFi. The property is non-smoking and is set 36 km …Read more",324.0,1.0,8.8,9.3,9.2,
Ben Yehuda 224,"224 בן יהודה, Tel Aviv",224 בן יהודה,Tel Aviv,"Situated in Tel Aviv, 500 m from Metsitsim Beach and 500 m from Nordau Beach, Ben Yehuda 224 provides accommodation with amenities such as free WiFi and a flat-screen TV. This apartment is 1.7 km from Itzhak Rabin Memorial and 2.2 km from Dizengoff …Read more",648.0,9.8,9.8,9.8,9.7,0.0
Sea view TLV hotel room,"79 הירקון, Tel Aviv",79 הירקון,Tel Aviv,"Located in Tel Aviv, 100 m from Bograshov Beach and 1.1 km from the centre, Sea view TLV hotel room provides air-conditioned accommodation with free WiFi, and a seasonal outdoor swimming pool.The accommodation comes with a flat-screen TV and …Read more",900.0,10.0,10.0,10.0,10.0,0.0
A Diamond on the sea 5 rooms,"4 רוטשילד, Bat Yam",4 רוטשילד,Bat Yam,"Offering garden views, A Diamond on the sea 5 rooms is an accommodation situated in Bat Yam, 200 m from Bat Yam Jerusalem Beach and 300 m from Hasela Beach. This beachfront property offers access to a balcony and free WiFi.The air-conditioned …Read more",1446.0,10.0,10.0,10.0,10.0,6.9
DeBlox living - Alhambra Apartments,"30 שדרות ירושלים, Tel Aviv",30 שדרות ירושלים,Tel Aviv,"DeBlox living - Alhambra Apartments in Tel Aviv offers accommodation with free WiFi, 700 m from Alma Beach, less than 1 km from Charles Clore Beach and 1.9 km from Aviv Beach. The property is around 2.5 km from Jerusalem Beach, 1.4 km from Suzanne …Read more",608.0,7.7,7.6,9.5,7.7,0.0
Spacious renovated Penthouse,"4 הדר, Rechovot",4 הדר,Rechovot,"Featuring city views, Spacious renovated Penthouse provides accommodation with a terrace and a balcony, around 23 km from Independence Hall Museum. It features garden views and free WiFi throughout the property.This air-conditioned apartment …Read more",582.0,8.7,8.8,9.3,9.2,
Bauhaus stylish apartments - by Bookiz,"60 אלנבי, Tel Aviv",60 אלנבי,Tel Aviv,"Located in Tel Aviv, less than 1 km from Aviv Beach and 1 km from the centre, Bauhaus stylish apartments - by Bookiz provides air-conditioned accommodation with free WiFi, and a terrace. It is situated less than 1 km from Banana Beach and features …Read more",1140.0,8.2,8.0,9.5,8.0,0.0
